DateTime,solar_eastcentral,solar_west,solar_south
2024-01-01T00:00:00.0,2.7,0.2,0.0
2024-01-01T01:00:00.0,2.6,0.2,0.0
2024-01-01T02:00:00.0,2.6,0.2,0.0
2024-01-01T03:00:00.0,2.4,0.2,0.0
2024-01-01T04:00:00.0,2.5,0.1,0.0
2024-01-01T05:00:00.0,2.5,0.1,0.0
2024-01-01T06:00:00.0,2.2,0.2,0.1
2024-01-01T07:00:00.0,2.1,0.2,0.1
2024-01-01T08:00:00.0,5.0,0.2,20.4
2024-01-01T09:00:00.0,86.3,3.9,206.1
2024-01-01T10:00:00.0,252.1,21.4,319.6
2024-01-01T11:00:00.0,428.8,61.3,348.5
2024-01-01T12:00:00.0,568.8,115.3,399.4
2024-01-01T13:00:00.0,616.0,148.3,413.1
2024-01-01T14:00:00.0,494.7,157.4,455.4
2024-01-01T15:00:00.0,329.9,146.7,499.1
2024-01-01T16:00:00.0,144.9,107.9,376.5
2024-01-01T17:00:00.0,11.8,21.8,162.0
2024-01-01T18:00:00.0,1.7,0.0,6.2
2024-01-01T19:00:00.0,1.7,0.0,0.0
2024-01-01T20:00:00.0,1.8,0.0,0.0
2024-01-01T21:00:00.0,1.8,0.0,0.0
2024-01-01T22:00:00.0,1.8,0.0,0.0
2024-01-01T23:00:00.0,2.1,0.0,0.0
2024-01-02T00:00:00.0,2.3,0.0,0.0
2024-01-02T01:00:00.0,2.2,0.0,0.0
2024-01-02T02:00:00.0,2.3,0.0,0.1
2024-01-02T03:00:00.0,2.1,0.0,0.1
2024-01-02T04:00:00.0,2.3,0.0,0.1
2024-01-02T05:00:00.0,2.0,0.0,0.1
2024-01-02T06:00:00.0,1.5,0.0,0.1
2024-01-02T07:00:00.0,1.5,0.0,0.1
2024-01-02T08:00:00.0,15.5,0.5,37.4
2024-01-02T09:00:00.0,346.8,19.9,330.2
2024-01-02T10:00:00.0,768.2,83.9,511.7
2024-01-02T11:00:00.0,812.7,128.5,533.3
2024-01-02T12:00:00.0,872.2,128.5,531.0
2024-01-02T13:00:00.0,949.5,148.2,566.1
2024-01-02T14:00:00.0,931.6,149.3,650.1
2024-01-02T15:00:00.0,820.8,121.2,641.1
2024-01-02T16:00:00.0,445.1,81.7,566.6
2024-01-02T17:00:00.0,34.5,12.9,159.4
2024-01-02T18:00:00.0,1.0,0.1,0.3
2024-01-02T19:00:00.0,0.9,0.2,0.0
2024-01-02T20:00:00.0,1.0,0.0,0.0
2024-01-02T21:00:00.0,0.9,0.0,0.1
2024-01-02T22:00:00.0,1.0,0.1,0.1
2024-01-02T23:00:00.0,1.0,0.1,0.1
2024-01-03T00:00:00.0,1.1,0.1,0.1
2024-01-03T01:00:00.0,1.2,0.1,0.1
2024-01-03T02:00:00.0,1.2,0.1,0.1
2024-01-03T03:00:00.0,1.2,0.1,0.1
2024-01-03T04:00:00.0,1.4,0.1,0.1
2024-01-03T05:00:00.0,1.3,0.1,0.1
2024-01-03T06:00:00.0,0.9,0.1,0.1
2024-01-03T07:00:00.0,3.1,0.1,0.1
2024-01-03T08:00:00.0,14.5,0.1,6.7
2024-01-03T09:00:00.0,210.0,17.3,118.2
2024-01-03T10:00:00.0,465.0,45.3,240.3
2024-01-03T11:00:00.0,587.3,72.5,346.4
2024-01-03T12:00:00.0,591.8,93.8,428.2
2024-01-03T13:00:00.0,572.1,76.6,502.8
2024-01-03T14:00:00.0,393.1,68.8,607.7
2024-01-03T15:00:00.0,212.3,43.1,596.1
2024-01-03T16:00:00.0,90.6,23.6,431.2
2024-01-03T17:00:00.0,7.3,4.0,235.3
2024-01-03T18:00:00.0,2.3,0.3,7.4
2024-01-03T19:00:00.0,2.4,0.3,0.0
2024-01-03T20:00:00.0,2.4,0.2,0.1
2024-01-03T21:00:00.0,2.5,0.3,0.1
2024-01-03T22:00:00.0,2.5,0.4,0.1
2024-01-03T23:00:00.0,2.5,0.3,0.1
2024-01-04T00:00:00.0,1.6,0.1,0.0
2024-01-04T01:00:00.0,1.2,0.1,0.0
2024-01-04T02:00:00.0,1.6,0.1,0.0
2024-01-04T03:00:00.0,2.6,0.2,0.0
2024-01-04T04:00:00.0,2.5,0.1,0.0
2024-01-04T05:00:00.0,2.6,0.1,0.1
2024-01-04T06:00:00.0,2.4,0.1,0.1
2024-01-04T07:00:00.0,2.3,0.1,0.1
2024-01-04T08:00:00.0,17.4,0.4,35.8
2024-01-04T09:00:00.0,357.7,6.8,347.0
2024-01-04T10:00:00.0,699.2,25.5,505.9
2024-01-04T11:00:00.0,891.1,45.4,545.7
2024-01-04T12:00:00.0,1044.8,73.1,583.8
2024-01-04T13:00:00.0,1008.1,99.3,618.7
2024-01-04T14:00:00.0,953.4,117.4,627.2
2024-01-04T15:00:00.0,776.3,102.3,686.4
2024-01-04T16:00:00.0,430.5,63.0,593.2
2024-01-04T17:00:00.0,44.4,7.0,270.4
2024-01-04T18:00:00.0,0.8,0.1,6.9
2024-01-04T19:00:00.0,0.5,0.0,0.0
2024-01-04T20:00:00.0,0.7,0.0,0.1
2024-01-04T21:00:00.0,0.5,0.1,0.0
2024-01-04T22:00:00.0,0.4,0.1,0.1
2024-01-04T23:00:00.0,0.6,0.1,0.1
2024-01-05T00:00:00.0,0.4,0.1,0.1
2024-01-05T01:00:00.0,0.4,0.1,0.1
2024-01-05T02:00:00.0,0.6,0.1,0.1
2024-01-05T03:00:00.0,0.5,0.1,0.1
2024-01-05T04:00:00.0,0.4,0.1,0.1
2024-01-05T05:00:00.0,1.6,0.1,0.1
2024-01-05T06:00:00.0,2.9,0.1,0.1
2024-01-05T07:00:00.0,2.0,0.1,0.1
2024-01-05T08:00:00.0,11.9,0.3,18.2
2024-01-05T09:00:00.0,248.8,16.0,77.2
2024-01-05T10:00:00.0,614.4,93.1,95.9
2024-01-05T11:00:00.0,902.5,93.4,129.4
2024-01-05T12:00:00.0,1080.0,91.0,161.2
2024-01-05T13:00:00.0,1097.4,93.2,105.3
2024-01-05T14:00:00.0,846.9,69.2,81.7
2024-01-05T15:00:00.0,533.1,52.0,43.2
2024-01-05T16:00:00.0,179.6,27.4,13.7
2024-01-05T17:00:00.0,14.6,6.9,8.6
2024-01-05T18:00:00.0,0.2,0.0,0.0
2024-01-05T19:00:00.0,0.1,0.0,0.0
2024-01-05T20:00:00.0,0.1,0.0,0.0
2024-01-05T21:00:00.0,0.0,0.0,0.0
2024-01-05T22:00:00.0,0.0,0.0,0.0
2024-01-05T23:00:00.0,0.0,0.0,0.0
2024-01-06T00:00:00.0,0.1,0.0,0.0
2024-01-06T01:00:00.0,0.0,0.0,0.0
2024-01-06T02:00:00.0,0.0,0.0,0.0
2024-01-06T03:00:00.0,0.1,0.0,0.0
2024-01-06T04:00:00.0,0.1,0.0,0.0
2024-01-06T05:00:00.0,0.0,0.0,0.0
2024-01-06T06:00:00.0,0.0,0.0,0.0
2024-01-06T07:00:00.0,0.2,0.0,0.0
2024-01-06T08:00:00.0,2.0,0.0,4.9
2024-01-06T09:00:00.0,57.1,2.6,60.7
2024-01-06T10:00:00.0,200.8,12.6,105.4
2024-01-06T11:00:00.0,390.7,21.1,147.2
2024-01-06T12:00:00.0,551.6,30.0,228.7
2024-01-06T13:00:00.0,605.3,32.1,277.1
2024-01-06T14:00:00.0,476.1,28.6,277.2
2024-01-06T15:00:00.0,260.0,20.7,280.7
2024-01-06T16:00:00.0,107.9,10.8,232.7
2024-01-06T17:00:00.0,4.1,1.9,129.9
2024-01-06T18:00:00.0,0.6,0.1,7.0
2024-01-06T19:00:00.0,0.6,0.1,0.1
2024-01-06T20:00:00.0,0.6,0.2,0.1
2024-01-06T21:00:00.0,0.6,0.2,0.1
2024-01-06T22:00:00.0,0.7,0.2,0.1
2024-01-06T23:00:00.0,0.7,0.2,0.1
2024-01-07T00:00:00.0,1.0,0.2,0.1
2024-01-07T01:00:00.0,1.3,0.1,0.1
2024-01-07T02:00:00.0,1.3,0.1,0.1
2024-01-07T03:00:00.0,1.3,0.2,0.1
2024-01-07T04:00:00.0,1.4,0.1,0.1
2024-01-07T05:00:00.0,1.2,0.1,0.1
2024-01-07T06:00:00.0,1.3,0.1,0.1
2024-01-07T07:00:00.0,1.4,0.1,0.1
2024-01-07T08:00:00.0,3.6,0.1,44.4
2024-01-07T09:00:00.0,88.3,21.1,513.6
2024-01-07T10:00:00.0,279.9,82.3,873.8
2024-01-07T11:00:00.0,514.5,108.1,906.2
2024-01-07T12:00:00.0,642.9,114.0,902.4
2024-01-07T13:00:00.0,573.3,136.1,897.0
2024-01-07T14:00:00.0,418.8,135.6,905.9
2024-01-07T15:00:00.0,251.9,117.3,883.3
2024-01-07T16:00:00.0,110.6,52.7,758.2
2024-01-07T17:00:00.0,8.3,11.1,296.6
2024-01-07T18:00:00.0,0.7,0.1,11.6
2024-01-07T19:00:00.0,0.3,0.0,0.1
2024-01-07T20:00:00.0,0.6,0.0,0.1
2024-01-07T21:00:00.0,0.4,0.0,0.1
2024-01-07T22:00:00.0,1.2,0.1,0.1
2024-01-07T23:00:00.0,1.0,0.0,0.1